Policy Number,Customer ID,Customer Name,Mobile Number,Email Id,Age,Gender,Marital Status,Dependents,Location,Occupation,Claims (3yrs),Claim Type,Online Activity,Service Calls,Current Insurance,Coverage,Renewal,Premium (3yrs),Recommended Insurance,Page_Visits_Health,Page_Visits_Auto,Page_Visits_Home,Page_Visits_Life,Time_Spent_Health,Time_Spent_Auto
22939,609,James Anderson,437-672-9401x4063,bsandoval@example.net,42,Male,Married,1,Kevinchester,Health physicist,2,Theft,15,8,Life Insurance D,Partial,2025-11-08,3217,Disability Insurance,5,19,15,6,52,39
24496,837,Meagan Mccoy,+1-867-505-8985x054,robertrobinson@example.net,38,Female,Married,0,Erinville,Publishing copy,2,Theft,31,1,Life Insurance D,Partial,2026-01-07,2077,Life Insurance,7,18,4,4,39,3
98006,474,Michelle Parrish,488-908-9154x22839,jordan05@example.com,37,Male,Single,2,Thomaston,Landscape architect,0,Theft,0,10,Auto Insurance B,Partial,2026-05-21,3429,Vision Insurance,18,6,8,1,14,46
10156,416,Dillon Briggs,+1-955-721-3560x2186,zfields@example.net,52,Female,Married,1,Johnside,Fast food restaurant manager,2,Theft,55,2,Life Insurance D,Full,2026-04-06,3444,Hospital indemnity insurance,5,16,11,0,77,92
21139,309,Linda Huynh,3859838698,tonya36@example.net,63,Female,Single,3,Port Randall,"Engineer, biomedical",0,Theft,88,7,Home Insurance A,Full,2025-09-02,1479,Accident Insurance,0,7,18,14,114,62
25404,912,Danielle Ramirez,001-900-460-8574x31668,jeremiahwilson@example.org,70,Female,Married,3,Bushstad,Metallurgist,1,Accident,45,3,Life Insurance D,Partial,2026-06-15,1747,Vision Insurance,0,17,18,11,45,84
57237,953,Jason Olson,+1-639-647-1910x36440,deckerrobin@example.org,64,Female,Single,0,Brownview,"Teacher, music",1,Accident,92,7,Life Insurance D,Partial,2026-01-21,4555,Vision Insurance,16,10,19,10,37,61
81794,114,Julia Bishop,273.200.4882x3449,davidrojas@example.org,57,Female,Married,0,Lauraburgh,"Pilot, airline",2,Accident,24,10,Life Insurance D,Partial,2024-10-08,3101,Critical illness Insurance,3,11,5,0,74,35
80326,387,Lori Smith,(811)993-6967,jillponce@example.net,27,Male,Married,0,Kevinborough,Call centre manager,3,Natural Disaster,5,6,Life Insurance D,Partial,2026-01-15,1734,Accident Insurance,18,5,5,4,44,12
51369,422,John Bass,2398402756,wcampbell@example.org,57,Female,Married,4,Christopherton,"Scientist, clinical (histocompatibility and immunogenetics)",1,Accident,80,7,Life Insurance D,Full,2026-01-27,3741,Disability Insurance,20,8,9,3,48,95
