Policy Number,Customer ID,Customer Name,Mobile Number,Email Id,Age,Gender,Marital Status,Dependents,Location,Occupation,Claims (3yrs),Claim Type,Online Activity,Service Calls,Current Insurance,Coverage,Premium (3yrs),Fraud
77149,238,Jose Ferguson,+1-439-335-5086x1130,michaelbyrd@example.com,26,Male,Single,5,New Christina,IT technical support officer,2,Auto,No,0,Yes,Full,2037,1
80472,322,Melissa Landry,001-737-606-0881x18831,luke03@example.com,30,Female,Single,3,West Samuelfurt,Archaeologist,0,Home,No,0,No,Full,1968,1
35260,720,Louis Snyder,812-970-0156x75238,rebecca79@example.com,48,Male,Single,4,Brittanytown,Community arts worker,0,Health,Yes,1,Yes,Full,1630,1
17951,743,Nichole Camacho,995.408.0372x8724,yhenry@example.net,21,Female,Single,4,West Trevorfort,"Administrator, arts",4,Home,No,4,Yes,Full,1348,1
41392,661,Lindsey Jackson,9507184501,jacob77@example.net,30,Female,Married,2,West Benjamin,"Loss adjuster, chartered",2,Health,No,3,Yes,Full,4330,1
19005,483,Michael Russo,820-281-6452x049,michael00@example.net,36,Male,Single,2,Garciafort,Garment/textile technologist,1,Auto,Yes,0,Yes,Partial,3123,0
92835,878,Crystal Taylor,779.875.1644x4953,xbarnes@example.org,29,Male,Single,1,West Patrickborough,"Engineer, mining",3,Health,No,3,No,Partial,4511,1
55820,959,Laurie Daniel,+1-896-307-4901x4742,klewis@example.com,33,Female,Single,0,Smithmouth,"Scientist, marine",4,Health,Yes,5,No,Full,2409,1
77781,517,Janice Walker,423-658-1073x537,chill@example.com,54,Female,Married,2,Smithborough,Tourist information centre manager,5,Health,Yes,0,No,Partial,2287,0
18765,317,Destiny Reyes,569-269-2047x564,calebmartinez@example.org,37,Male,Married,3,Mooneyberg,Press sub,3,Auto,No,1,Yes,Full,1228,1
64170,595,Tamara Mcdonald,298.405.4145,erin30@example.net,27,Female,Single,0,North James,Licensed conveyancer,0,Home,No,5,Yes,Full,3917,1
10456,397,Jason Martinez,756.266.1745x4436,amythompson@example.org,42,Male,Married,2,Marcton,"Accountant, chartered management",5,Health,No,1,Yes,Partial,2204,0
62396,243,Sean Cook,(830)495-0767x2184,bgreen@example.com,52,Male,Married,2,Port Cathy,"Research officer, government",3,Home,No,4,Yes,Full,1933,1
33126,536,Breanna Jimenez,001-700-442-3177x478,tpark@example.net,33,Female,Married,4,Gregoryview,Learning disability nurse,2,Auto,Yes,2,Yes,Full,4685,0
58528,956,Corey Wallace,+1-462-293-8891,byrdteresa@example.net,66,Male,Married,1,Melvinland,Armed forces operational officer,5,Auto,Yes,1,No,Full,4105,0
49242,444,Theresa Morgan,001-862-239-6534x696,michelle85@example.org,69,Female,Married,2,Glassmouth,"Journalist, broadcasting",0,Health,Yes,3,No,Partial,1219,0
10074,853,Claire Thomas,485-931-4125x639,richard21@example.com,64,Female,Single,3,East Alyssa,Financial adviser,3,Auto,No,0,No,Full,1597,1
60072,945,Angela Mitchell,+1-956-714-4369x238,alexandercoleman@example.net,29,Male,Single,3,Iantown,"Scientist, marine",0,Auto,Yes,1,No,Full,3718,0
24383,241,Jessica Barton,(804)660-1327,umcdonald@example.org,42,Female,Married,4,North Rodney,"Scientist, audiological",2,Health,Yes,3,No,Partial,1055,0
88085,436,Sharon Shannon,+1-775-753-0358x88925,christopher82@example.net,44,Male,Married,1,Greenchester,Local government officer,2,Auto,No,4,No,Full,1327,0
68674,925,Anthony Parker,(277)877-3975,agrant@example.net,26,Female,Married,0,North Pedro,Freight forwarder,0,Health,No,4,Yes,Partial,4935,1
58730,107,Jody Black,249-209-2333,wilsonrichard@example.org,62,Female,Single,1,Port Katherineville,Magazine features editor,3,Health,No,4,Yes,Full,1799,0
68814,204,Steven George,001-769-785-1471x289,whitechristopher@example.com,24,Male,Single,4,New Amyside,Secretary/administrator,2,Auto,Yes,5,No,Full,1463,0
86084,595,Desiree Kelly,(217)530-9660x71501,thansen@example.com,56,Female,Single,1,Port Thomasfurt,"Psychotherapist, child",1,Home,Yes,4,Yes,Partial,1056,0
55657,584,Andrew Watkins,329-324-4924x476,margaretmosley@example.net,29,Male,Married,5,East Ricardo,"Administrator, Civil Service",5,Health,Yes,0,No,Full,4671,0
37019,966,Margaret Fox,001-462-751-5457x949,xwong@example.com,37,Female,Married,5,South Sydneyville,"Accountant, chartered management",1,Health,No,2,Yes,Partial,4893,1
65463,603,Alicia Li,(739)673-5660,kylejackson@example.com,50,Female,Single,2,Nguyenside,Hydrologist,4,Health,Yes,4,No,Full,2719,0
15087,415,Caleb Atkins,648-637-7551x5455,scottjoseph@example.net,61,Female,Single,1,Lake Tyler,"Engineer, building services",1,Home,Yes,1,Yes,Full,2057,1
36798,612,Joanne Rogers,683.734.4501,dakotamcdonald@example.org,70,Female,Single,1,Port Pamelamouth,"Psychotherapist, child",5,Health,No,2,No,Partial,4631,0
59650,549,Stephen Bailey,987.660.6589x889,colekaren@example.com,51,Female,Single,5,Graystad,Pension scheme manager,2,Health,Yes,0,Yes,Full,4991,0
69953,538,Miranda Sullivan,001-599-579-6322,hsimon@example.org,54,Male,Single,1,Simston,"Horticulturist, amenity",4,Auto,Yes,5,Yes,Full,3091,0
24143,787,Bradley Benjamin,922.894.9519x340,danielle81@example.com,66,Male,Single,5,New Jenniferhaven,"Engineer, electronics",5,Auto,No,2,Yes,Full,2922,0
38329,632,Donald Santiago,001-771-277-4151x4590,kdavis@example.org,20,Male,Married,2,Andersonport,Hydrographic surveyor,3,Home,Yes,1,No,Full,4232,0
65244,361,Martin Burns,001-941-337-1988x774,bhernandez@example.com,56,Female,Married,1,Ryanville,Medical physicist,1,Home,No,2,No,Full,4976,1
45934,728,Cory Jones,(744)239-3148x515,kennethbutler@example.org,59,Female,Single,1,Juliechester,Patent examiner,2,Auto,No,4,No,Partial,2611,1
29813,617,Renee Johnson,308-689-5352x23251,jason36@example.com,34,Male,Single,3,East Mitchellland,Translator,1,Health,Yes,4,Yes,Full,3728,0
71656,742,Chris Church,580.573.4116,jclark@example.org,38,Female,Single,1,Josephtown,Phytotherapist,2,Home,No,2,Yes,Partial,3144,1
46468,114,Christopher Sharp,304-544-4057x12939,michelle73@example.com,56,Male,Married,1,Lewisfurt,Proofreader,4,Home,No,3,No,Partial,1755,1
28012,871,Christopher King,6986577660,lozanoanne@example.net,51,Male,Single,0,Jessicaland,Historic buildings inspector/conservation officer,1,Health,No,3,Yes,Partial,3321,1
76294,978,Kathleen Smith,001-961-242-1128x46636,alejandrobates@example.com,22,Male,Married,4,East Michaelshire,Communications engineer,2,Auto,No,1,No,Full,4616,0
