Policy Number,Customer ID,Customer Name,Mobile Number,Email Id,Age,Gender,Marital Status,Dependents,Location,Occupation,Claims (3yrs),Claim Type,Online Activity,Service Calls,Current Insurance,Coverage,Premium (3yrs)
53857,246,Mark Esparza,364-741-1441,patrick69@example.net,46,Male,Single,0,New Samanthaside,Air cabin crew,3,Auto,No,3,No,Partial,4552
50950,341,William Osborne,461.241.5277,courtney70@example.org,20,Male,Single,4,West Kimberly,Medical secretary,5,Auto,Yes,3,No,Full,2875
70131,685,Maria Gould,+1-520-658-5669x8738,carlyorr@example.org,51,Male,Single,3,South Brandonland,Pharmacologist,3,Home,No,4,Yes,Full,4465
10017,179,Felicia Lopez,359-989-2182,david09@example.net,39,Female,Married,1,Mckinneyport,"Engineer, manufacturing systems",2,Health,Yes,4,Yes,Partial,2562
60923,760,Charles Chavez,333.938.8417,johnsonalfred@example.org,27,Female,Married,0,Williamsmouth,Clinical psychologist,3,Health,Yes,2,Yes,Full,2314
76587,756,Emma Rodriguez PhD,(683)798-3742x3099,markcampbell@example.com,63,Male,Married,3,East Ryan,Toxicologist,2,Auto,Yes,1,Yes,Partial,3594
10228,291,Austin Joyce,001-709-370-7447,ambermejia@example.org,61,Male,Single,5,Lake Brittanyland,Research scientist (life sciences),0,Health,Yes,4,No,Full,4899
95275,298,Katherine Davis,544-338-0991,darrenhall@example.net,45,Female,Single,0,Robertland,Armed forces training and education officer,1,Health,No,5,No,Partial,1604
88020,650,Jacqueline Nguyen,936.621.4035,hmiller@example.com,38,Male,Married,3,East Howard,Geophysical data processor,5,Auto,No,2,Yes,Full,1073
57263,361,Patrick Gonzalez,(407)868-7437x267,lopezkathleen@example.com,43,Male,Single,0,Port Vincent,"Buyer, industrial",4,Health,Yes,2,No,Partial,4768
47247,333,Ryan Hernandez,2002103800,batesbethany@example.net,55,Female,Married,2,Jennifertown,"Surveyor, building",0,Health,No,2,Yes,Partial,4596
